ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
196452,Audio,Coccothraustes vespertinus,Evening Grosbeak,Cyanocitta cristata -- Blue Jay; Tamiasciurus hudsonicus -- Red Squirrel,,"McGuire, Bob ",2011,2,23,946,United States,New York,Madison,Deruyter; Paradise Hill Road,42.7311,-75.8558,,Adult Unknown Sex (20),call,Natural,Certain,Sight and Sound,,,5,0,2046,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Flock at feeder. Various calls from individuals and from flock.,,,Aves,Passeriformes,Fringillidae,309760
125248,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Andersen, Michael J",2005,6,12,830,United States,California,Sierra,Tahoe National Forest: Haskell Peak via Haskell Peak Road,39.6546667,-120.5995,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,5,0,196,HHB PORTADAT PDR 1000,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Coniferous Forest; Montane Grassland,,Edge,,,,Aves,Passeriformes,Fringillidae,309760
120245,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Keller, Geoffrey A",2002,5,28,543,United States,California,Modoc,Cedar Pass in the Warner Mountains,,,1740,,,,Certain,Sight,,,5,0,227,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Birds were vocalizing from top of coniferous trees, probably firs...""", Number of individuals=UU1+; ,,Aves,Passeriformes,Fringillidae,309760
61261,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Gunn, William W. H. ",1955,6,24,0,Canada,Ontario,,Algonquin Prov. Park; Highway 60,,,,,call,,Certain,Sight and Sound,,,5,0,91,,,,,,,,,,, NOTES: A few clear calls,,,Aves,Passeriformes,Fringillidae,309760
22445,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Davis, William E., Jr. E",1980,12,24,"",United States,Massachusetts,Plymouth,Manomet Center for Conservation Biology,,,,Adult Female (8); Adult Male (5),emit distress calls,,Certain,,Captive,,5,0,459,,,,Mono,,,,,,,,Banded 23 different individuals.,Recordist lists the recorder as a Uher 2000.,Aves,Passeriformes,Fringillidae,309760
196457,Audio,Coccothraustes vespertinus,Evening Grosbeak,Cyanocitta cristata -- Blue Jay; Agelaius phoeniceus -- Red-winged Blackbird; Acanthis flammea -- Common Redpoll; Poecile atricapillus -- Black-capped Chickadee,,"McGuire, Bob ",2011,3,8,930,United States,New York,Madison,Deruyter; Paradise Hill Road,42.7311,-75.8558,,Adult Unknown Sex (20),call,Natural,Certain,Sight and Sound,,,4,0,1039,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Birds at a feeder.,,,Aves,Passeriformes,Fringillidae,309760
192487,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"McGuire, Bob ",2012,4,22,1600,United States,Oregon,,Bend; Skyliner Road,44.03152,-121.5151,,Adult Unknown Sex (3),call,Natural,Certain,Sight and Sound,,,4,0,136,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,309760
169717,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"McGowan, Jay W",2012,6,14,637,United States,California,Sierra,5.0 km W of Sattley; Chapman Saddle Road,39.652876,-120.5174419,,Adult Male (1); Unknown Age Unknown Sex (1),call; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,101,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,309760
130770,Audio,Coccothraustes vespertinus,Evening Grosbeak,Pinicola enucleator -- Pine Grosbeak; Cyanocitta stelleri -- Steller's Jay,,"Pieplow, Nathan D",2012,3,17,1445,United States,Colorado,,Silverthorne; Wildernest subdivision,39.623592,-106.094406,,Adult Male (4),call,Natural,Certain,,,,4,0,214,FOSTEX FR-2LE,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Several different male Type 4 Evening Grosbeaks highlighted in his cut, giving flight calls and trill calls. Many finches in the area on this day (Pine Grosbeaks, Cassin's Finches, rosy-finches, siskins), exhibiting many different singing behaviors. Some may be in background of this cut besides the species listed.",,,Aves,Passeriformes,Fringillidae,309760
130769,Audio,Coccothraustes vespertinus,Evening Grosbeak,Spinus pinus -- Pine Siskin; Contopus sordidulus -- Western Wood-Pewee; Setophaga petechia -- Yellow Warbler; Troglodytes aedon -- House Wren; Turdus migratorius -- American Robin,,"Pieplow, Nathan D",2011,5,27,1715,United States,Colorado,,Colorado City; Meadow Creek subdivision,37.941583,-104.832236,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,284,FOSTEX FR-2LE,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Solo male Type 4 giving flight calls while perched in an oak overhead. Various other Evening Grosbeaks scattered throughout the area. This is not breeding habitat: a low-elevation subdivision dominated by oaks.,,,Aves,Passeriformes,Fringillidae,309760
125382,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Sander, Thomas G",1990,6,8,0,United States,Oregon,,NW of Sisters; Jack Lake,,,,,,,Not Provided,,,,4,0,54,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Calls.,,,Aves,Passeriformes,Fringillidae,309760
120246,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Keller, Geoffrey A",2002,5,28,606,United States,California,Modoc,"Modoc National Forest, near Cedar Pass in the Warner Mountains",,,1740,,,,Certain,Sight,,,4,0,246,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Approx 3 birds were present in top of large fir tree...""", Number of individuals=UUc3; ,,Aves,Passeriformes,Fringillidae,309760
120244,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Keller, Geoffrey A",2002,5,27,914,United States,California,Modoc,Fort Bidwell,,,1370,,,,Certain,Sight,,,4,0,222,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""A few birds were vocalizing in canopy of large cottonwood tree...""", Number of individuals=UU1+; ,,Aves,Passeriformes,Fringillidae,309760
111139,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Sander, Thomas G",1990,6,6,0,United States,Oregon,Deschutes,NW of Sisters; Bear Valley trailhead,,,,,,,Not Provided,,,,4,0,406,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.),,,Aves,Passeriformes,Fringillidae,309760
111128,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Sander, Thomas G",1990,5,31,0,United States,Oregon,Deschutes,near Sisters,,,,,,,Certain,,,,4,0,529,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.) A smattering of a large feeding flock.,,,Aves,Passeriformes,Fringillidae,309760
105759,Audio,Coccothraustes vespertinus,Evening Grosbeak,Cardinalis cardinalis -- Northern Cardinal; Spinus tristis -- American Goldfinch; Chamaea fasciata -- Wrentit; Patagioenas fasciata -- Band-tailed Pigeon; Setophaga petechia -- Yellow Warbler; Melanerpes carolinus -- Red-bellied Woodpecker; Melospiza melodia -- Song Sparrow; Molothrus ater -- Brown-headed Cowbird; Pipilo maculatus -- Spotted Towhee; Selasphorus rufus -- Rufous Hummingbird; Thryothorus ludovicianus -- Carolina Wren,,"Keller, Geoffrey A",1996,5,27,745,United States,Oregon,Coos,Coquille,43.1768959,-124.1868782,35,,call,Natural,Certain,Sound,,,4,0,197,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Suburban,,,Calls from canopy of young Douglas Fir; recorded in GAK's backyard near feeders., Number of individuals=AUc5-10; ,,Aves,Passeriformes,Fringillidae,309760
77259,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Hershberger, Wilbur L",1996,1,5,1045,United States,West Virginia,Berkeley,Sleepy Creek Wildlife Management Area; Big Cove Trail Head,39.4833333,-78.1666667,,Adult Male (1),advertise; call; forage,Natural,Certain,Sight and Sound,,,4,0,131,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Pasture,,, NOTES: Tech Note: Are any of these vocalizations song? mf 7Feb2001,,,Aves,Passeriformes,Fringillidae,309760
61264,Audio,Coccothraustes vespertinus,Evening Grosbeak,Gavia immer -- Common Loon,,"Gunn, William W. H. ",1960,6,15,0,Canada,Manitoba,,Riding Mountain National Park; W. End Of Lake Katherine,,,,,call; song,,Certain,Sight and Sound,,,4,0,195,MAGNACORDA UNSPECIFIED MODEL,,,,,,,,,," NOTES: as well as cheeps and other calls, note high-pitched ""songs"" (?)Also: some tape ""skip""",,,Aves,Passeriformes,Fringillidae,309760
61262,Audio,Coccothraustes vespertinus,Evening Grosbeak,Melospiza melodia -- Song Sparrow,,"Gunn, William W. H. ",1957,6,24,0,Canada,New Brunswick,,18.0 km N of St. Leonard; Maple Leaf Cabins,,,,,,,Certain,Sight and Sound,,,4,0,115,NAGRA II,,,,,,,,,,, Number of individuals=UU1+; ,,Aves,Passeriformes,Fringillidae,309760
44891,Audio,Coccothraustes vespertinus,Evening Grosbeak,,,"Keller, Geoffrey A",1989,4,23,946,United States,Oregon,Coos,in Coos Bay,,,50,,call,Natural,Certain,Sound,,,4,0,369,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Suburban; Yard,,," NOTES: BNA: chatters, trills. dawn +3.00hrs; technical info same as 89-10-01; species cut number 11; weather was misty           ", Number of individuals=AU1-5+; ,,Aves,Passeriformes,Fringillidae,309760
43985,Audio,Coccothraustes vespertinus,Evening Grosbeak,Haemorhous purpureus -- Purple Finch; Molothrus ater -- Brown-headed Cowbird; Zonotrichia leucophrys -- White-crowned Sparrow,,"Gunn, William W. H. ",1974,5,12,0,Canada,Alberta,,Rolling Hills,,,,,call,,Certain,Sight and Sound,,,4,0,285,STELLAVOX UNSPECIFIED MODEL,,Parabola 76.2cm (30in),,,,,,,, NOTES: calls from 1 or 2 birds. Loud calls and also soft notes., Number of individuals=UU1-2; ,,Aves,Passeriformes,Fringillidae,309760
12967,Audio,Coccothraustes vespertinus,Evening Grosbeak,Empidonax alnorum -- Alder Flycatcher; Oreothlypis ruficapilla -- Nashville Warbler,,"Stein, Robert C; Little, Randolph S",1963,6,23,805,Canada,Ontario,,149.0 km S of Chapleau; Chapleau-thessalon Rd.,,,,,call,,Not Provided,Sight and Sound,,,4,0,18,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest; Creek; Riparian,,, NOTES: BNA: trill SLIGHT BREEZE. BIRD SITTING IN TOP OF A LARCH. GIVING FLOCK CALL TO LOCATE OTHERS? BIRD THEN FLEW OFF.  1 MALE(S),,,Aves,Passeriformes,Fringillidae,309760
